,Pruid,CSDuid,CSDname,CSDtype,Index_of_remoteness,CSDpop2021,DGUID
0,10,1001101,"Division No.  1, Subd. V",SNO,0.3803357730916185,55.0,2021A00051001101
1,10,1001105,Portugal Cove South,T,0.39163951515743944,86.0,2021A00051001105
2,10,1001113,Trepassey,T,0.39728970242858574,405.0,2021A00051001113
3,10,1001120,St. Shott's,T,0.403399725958564,55.0,2021A00051001120
4,10,1001124,"Division No.  1, Subd. U",SNO,0.3496446137633792,1373.0,2021A00051001124
5,10,1001126,Cape Broyle,T,0.3391698001379332,499.0,2021A00051001126
6,10,1001131,Renews-Cappahayden,T,0.3675667486642491,280.0,2021A00051001131
7,10,1001136,Fermeuse,T,0.3634954584527854,266.0,2021A00051001136
8,10,1001140,Port Kirwan,T,0.36610561327364033,49.0,2021A00051001140
9,10,1001144,Aquaforte,T,0.3560668649106983,74.0,2021A00051001144
10,10,1001149,Ferryland,T,0.35268859968480304,371.0,2021A00051001149
11,10,1001155,"Division No.  1, Subd. W",SNO,0.3657848280382563,469.0,2021A00051001155
12,10,1001169,St. Vincent's-St. Stephen's-Peter's River,T,0.388236485847001,263.0,2021A00051001169
13,10,1001174,Gaskiers-Point La Haye,T,0.3828077016939181,189.0,2021A00051001174
14,10,1001178,St. Mary's,T,0.37856521144989397,313.0,2021A00051001178
15,10,1001181,Riverhead,T,0.37444452621867563,165.0,2021A00051001181
16,10,1001186,Admirals Beach,T,0.3707635087586312,97.0,2021A00051001186
17,10,1001192,St. Joseph's,T,0.36236017926841835,86.0,2021A00051001192
18,10,1001197,Mount Carmel-Mitchells Brook-St. Catherine's,T,0.3512594292270078,382.0,2021A00051001197
19,10,1001203,"Division No.  1, Subd. X",SNO,0.3619343783693817,541.0,2021A00051001203
20,10,1001207,Colinet,T,0.36100390831045204,103.0,2021A00051001207
21,10,1001214,"Division No.  1, Subd. C",SNO,0.4025048235336104,106.0,2021A00051001214
22,10,1001219,Branch,T,0.3955940981547862,177.0,2021A00051001219
23,10,1001225,Point Lance,T,0.4019839273498683,87.0,2021A00051001225
24,10,1001228,St. Bride's,T,0.40424874697926017,318.0,2021A00051001228
25,10,1001234,"Division No.  1, Subd. B",SNO,0.3834242491966492,356.0,2021A00051001234
26,10,1001240,Placentia,T,0.3800510921127709,3289.0,2021A00051001240
27,10,1001254,Fox Harbour,T,0.3823426711664486,226.0,2021A00051001254
28,10,1001259,"Division No.  1, Subd. A",SNO,0.37770583890758513,653.0,2021A00051001259
29,10,1001263,Long Harbour-Mount Arlington Heights,T,0.3719516977246662,185.0,2021A00051001263
30,10,1001267,Southern Harbour,T,0.38312995822928886,313.0,2021A00051001267
31,10,1001270,Arnold's Cove,T,0.3811439618769724,964.0,2021A00051001270
32,10,1001274,Come By Chance,T,0.38491103572312924,208.0,2021A00051001274
33,10,1001277,Sunnyside,T,0.385246661476768,407.0,2021A00051001277
34,10,1001281,Chance Cove,T,0.37584377519628753,213.0,2021A00051001281
35,10,1001285,Norman's Cove-Long Cove,T,0.3678380528356332,647.0,2021A00051001285
36,10,1001289,Chapel Arm,T,0.36807929173981957,446.0,2021A00051001289
37,10,1001293,"Division No.  1, Subd. Y",SNO,0.3596717905167621,1211.0,2021A00051001293
38,10,1001298,Whitbourne,T,0.3550941215945834,955.0,2021A00051001298
39,10,1001304,"Division No.  1, Subd. E",SNO,0.35743155466064647,2835.0,2021A00051001304
40,10,1001308,Whiteway,T,0.3708652323930691,351.0,2021A00051001308
41,10,1001312,Heart's Delight-Islington,T,0.3768182317655574,646.0,2021A00051001312
42,10,1001316,Heart's Desire,T,0.3796117118737612,184.0,2021A00051001316
43,10,1001321,"Division No.  1, Subd. F",SNO,0.3968500038114615,539.0,2021A00051001321
44,10,1001325,Heart's Content,T,0.3751930518614949,330.0,2021A00051001325
45,10,1001328,New Perlican,T,0.3784383449405474,200.0,2021A00051001328
46,10,1001332,Winterton,T,0.38339506338066265,436.0,2021A00051001332
47,10,1001335,Hant's Harbour,T,0.3894375869542086,318.0,2021A00051001335
48,10,1001339,"Division No.  1, Subd. G",SNO,0.384497836800483,1673.0,2021A00051001339
49,10,1001343,Old Perlican,T,0.3975595878163576,608.0,2021A00051001343
50,10,1001347,Bay de Verde,T,0.401619121695322,347.0,2021A00051001347
51,10,1001352,Small Point-Adam's Cove-Blackhead-Broad Cove,T,0.376775061405494,414.0,2021A00051001352
52,10,1001357,"Division No.  1, Subd. H",SNO,0.35757658982038243,328.0,2021A00051001357
53,10,1001361,Salmon Cove,T,0.36617703642919985,764.0,2021A00051001361
54,10,1001365,Victoria,T,0.3594262490451655,1658.0,2021A00051001365
55,10,1001370,Carbonear,T,0.35597061115164297,4696.0,2021A00051001370
56,10,1001374,"Division No.  1, Subd. I",SNO,0.3559505987408028,320.0,2021A00051001374
57,10,1001375,Bryant's Cove,T,0.3501896363081406,343.0,2021A00051001375
58,10,1001379,Harbour Grace,T,0.35091876165683455,2796.0,2021A00051001379
59,10,1001385,Upper Island Cove,T,0.3483842599918995,1401.0,2021A00051001385
60,10,1001391,"Division No.  1, Subd. J",SNO,0.34704367315807094,0.0,2021A00051001391
61,10,1001394,Bishop's Cove,T,0.3472200732403916,252.0,2021A00051001394
62,10,1001396,Spaniard's Bay,T,0.34538227691975054,2630.0,2021A00051001396
63,10,1001405,"Division No.  1, Subd. K",SNO,0.3484293295305617,35.0,2021A00051001405
64,10,1001409,Bay Roberts,T,0.342361482745273,5974.0,2021A00051001409
65,10,1001415,"Division No.  1, Subd. L",SNO,0.3463560240945841,874.0,2021A00051001415
66,10,1001421,"Division No.  1, Subd. M",SNO,0.33949387902206274,1145.0,2021A00051001421
67,10,1001426,North River,T,0.34150504594524445,579.0,2021A00051001426
68,10,1001429,Clarke's Beach,T,0.3411558058328641,1400.0,2021A00051001429
69,10,1001434,South River,T,0.34012941183376433,674.0,2021A00051001434
70,10,1001437,Cupids,T,0.34146121857465717,699.0,2021A00051001437
71,10,1001441,"Division No.  1, Subd. N",SNO,0.33058452180448195,356.0,2021A00051001441
72,10,1001446,Brigus,T,0.3345302147212995,699.0,2021A00051001446
73,10,1001452,"Division No.  1, Subd. O",SNO,0.330415177701437,829.0,2021A00051001452
74,10,1001456,Colliers,T,0.32807927193637076,613.0,2021A00051001456
