"REF_DATE","GEO","DGUID","Indigenous identity","Grade","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Total, grade","Total, sex","Number","223","units","0","v1281058787","1.1.1.1","197883","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Total, grade","Male","Number","223","units","0","v1281058788","1.1.1.2","100044","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Total, grade","Female","Number","223","units","0","v1281058789","1.1.1.3","97836","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Total, grade","Sex not reported","Number","223","units","0","v1281058790","1.1.1.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Junior Kindergarten  ","Total, sex","Number","223","units","0","v1281058791","1.1.2.1","1848","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Junior Kindergarten  ","Male","Number","223","units","0","v1281058792","1.1.2.2","909","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Junior Kindergarten  ","Female","Number","223","units","0","v1281058793","1.1.2.3","939","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Junior Kindergarten  ","Sex not reported","Number","223","units","0","v1281058794","1.1.2.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Kindergarten","Total, sex","Number","223","units","0","v1281058795","1.1.3.1","13572","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Kindergarten","Male","Number","223","units","0","v1281058796","1.1.3.2","7071","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Kindergarten","Female","Number","223","units","0","v1281058797","1.1.3.3","6498","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Kindergarten","Sex not reported","Number","223","units","0","v1281058798","1.1.3.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 1","Total, sex","Number","223","units","0","v1281058799","1.1.4.1","14463","","","","0"
