"Number of students in regular programs for youth, public elementary and secondary schools, by Indigenous identity, grade and sex 1 2 3 4 5"
"Frequency: Annual"
"Table: 37-10-0213-01"
"Release date: 2022-10-13"
"Geography: Canada, Province or territory"
""
""

,"Grade","Total, grade",,,,
,"Sex","Total, sex",,,,
"Geography","Indigenous identity 6","2016 / 2017","2017 / 2018","2018 / 2019","2019 / 2020","2020 / 2021"
,,"Number",,,,
"Canada 7 8","Total, Indigenous identity","249,378","254,271","256,572","264,642","259,323"
,"First Nations","101,961","104,457","105,063","104,640","99,678"
,"Métis","36,570","37,917","38,976","39,702","39,690"
,"Inuit","2,970","3,159","3,285","4,224","5,070"
,"Indigenous, group not reported 9","107,874","108,738","109,248","116,214","115,683"
"Newfoundland and Labrador 8","Total, Indigenous identity","..","..","..","3,420","3,645"
,"First Nations","..","..","..","1,836","1,929"
,"Métis","..","..","..","738","738"
,"Inuit","..","..","..","987","1,782"
,"Indigenous, group not reported 9","..","..","..","..",".."
"Prince Edward Island","Total, Indigenous identity","..","399","420","420","447"
,"First Nations","..","291","306","312","333"
,"Métis","..","54","51","45","63"
,"Inuit","..","21","27","27","24"
,"Indigenous, group not reported 9","..","33","36","36","27"
"Nova Scotia","Total, Indigenous identity","5,898","6,630","6,405","6,846","7,059"
,"First Nations","4,377","4,794","4,608","..",".."
,"Métis","954","1,173","1,188","..",".."
,"Inuit","171","201","201","..",".."
,"Indigenous, group not reported 9","399","459","405","6,846","7,059"
"New Brunswick","Total, Indigenous identity","..","..","..","..",".."
,"First Nations","..","..","..","..",".."
,"Métis","..","..","..","..",".."
,"Inuit","..","..","..","..",".."
,"Indigenous, group not reported 9","..","..","..","..",".."
"Quebec","Total, Indigenous identity","..","..","..","..",".."
,"First Nations","..","..","..","..",".."
,"Métis","..","..","..","..",".."
,"Inuit","..","..","..","..",".."
,"Indigenous, group not reported 9","..","..","..","..",".."
"Ontario","Total, Indigenous identity","42,402","43,533","45,087","47,253","46,359"
,"First Nations","32,376","32,883","33,798","35,442","34,584"
,"Métis","9,117","9,678","10,287","10,737","10,689"
,"Inuit","912","975","1,002","1,077","1,089"
,"Indigenous, group not reported 9","..","..","..","..",".."
"Manitoba 8","Total, Indigenous identity","36,072","36,879","37,614","38,610","40,296"
,"First Nations","..","..","..","..",".."
,"Métis","..","..","..","..",".."
,"Inuit","..","..","..","..",".."
,"Indigenous, group not reported 9","36,072","36,879","37,617","38,607","40,293"
"Saskatchewan","Total, Indigenous identity","38,127","37,980","37,773","37,356","35,415"
,"First Nations","27,450","27,516","27,420","27,225","25,311"
,"Métis","10,518","10,302","10,203","9,975","9,957"
,"Inuit","99","102","96","102","93"
,"Indigenous, group not reported 9","60","57","57","57","54"
"Alberta","Total, Indigenous identity","49,917","51,870","52,599","54,540","52,371"
,"First Nations","33,987","35,214","35,313","36,240","33,933"
,"Métis","15,396","16,083","16,659","17,637","17,718"
,"Inuit","534","573","624","666","717"
,"Indigenous, group not reported 9","0","0","0","0","0"
"British Columbia","Total, Indigenous identity","71,343","71,313","71,139","70,668","68,247"
,"First Nations","..","..","..","..",".."
,"Métis","..","..","..","..",".."
,"Inuit","..","..","..","..",".."
,"Indigenous, group not reported 9","71,343","71,310","71,139","70,668","68,247"
"Yukon","Total, Indigenous identity","..","..","..","..",".."
,"First Nations","..","..","..","..",".."
,"Métis","..","..","..","..",".."
,"Inuit","..","..","..","..",".."
,"Indigenous, group not reported 9","..","..","..","..",".."
"Northwest Territories","Total, Indigenous identity","5,613","5,673","5,538","5,532","5,484"
,"First Nations","3,771","3,762","3,615","3,588","3,591"
,"Métis","585","624","585","573","528"
,"Inuit","1,254","1,284","1,335","1,368","1,365"
,"Indigenous, group not reported 9","0","0","0","0","0"
"Nunavut","Total, Indigenous identity","..","..","..","..",".."
,"First Nations","..","..","..","..",".."
,"Métis","..","..","..","..",".."
,"Inuit","..","..","..","..",".."
,"Indigenous, group not reported 9","..","..","..","..",".."

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"All counts are randomly rounded to a multiple of 3 using the following procedure: counts that are already a multiple of 3 are not adjusted; counts 1 greater than a multiple of 3 are adjusted to the next lowest multiple of 3 with a probability of two-thirds and to the next highest multiple of 3 with a probability of one-third. The probabilities are reversed for counts that are 1 less than a multiple of 3."
2,"The data are subject to revision."
3,"Counts represent the number of students enrolled in programs at the beginning of the school year (in September or as close as possible thereafter)."
4,"Totals may not add up to the sum of all categories due to rounding."
5,"Data are reported for off-reserve public schools. In the Elementary-Secondary Education Survey, public elementary and secondary schools are publicly funded schools that are operated by school boards or the province/territory."
6,""Indigenous identity" refers to the three Indigenous groups recognized by the Canadian Constitution: First Nations (North American Indian), Métis, and Inuit (Inuk). First Nations (North American Indian) includes both Status and Non-Status Indians."
7,"The Canada totals reflect data from the reporting provinces and territories."
8,"The totals reported in "Total, Indigenous identity" may not equal the sum of the four other categories. When more than one Indigenous identity was reported, the student was counted in each appropriate group, but only once in the totals."
9,""Indigenous, group not reported" includes instances where a student was reported as Indigenous but a group was not specified."



"How to cite: Statistics Canada. Table 37-10-0213-01  Number of students in regular programs for youth, public elementary and secondary schools, by Indigenous identity, grade and sex"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3710021301
